hero	slot	ability	type	cooldown	charges
hero_frank	Signature_3	ability_frank_painaura	Signature	2.0	0
hero_frank	Signature_4	ability_frank_revive	Ultimate	240	0
hero_genericperson	Signature_1	genericperson_ability_1	Signature	10.5	0
hero_genericperson	Signature_2	genericperson_ability_2	Signature	10.5	0
hero_genericperson	Signature_3	genericperson_ability_3	Signature	10.5	0
hero_genericperson	Signature_4	genericperson_ability_4	Ultimate	10.5	0
hero_ghost	Signature_1	ability_blood_bomb	Signature	14	0
hero_ghost	Signature_2	ability_life_drain	Signature	34	0
hero_ghost	Signature_3	ability_blood_shards	Signature	6	0
hero_ghost	Signature_4	ability_health_swap	Ultimate	190	0
hero_gigawatt	Signature_1	citadel_ability_lightning_ball	Signature	26	1
hero_gigawatt	Signature_2	citadel_ability_static_charge	Signature	42	0
hero_gigawatt	Signature_3	ability_power_surge	Signature	50	0
hero_gigawatt	Signature_4	citadel_ability_storm_cloud	Ultimate	180	0
hero_haze	Signature_1	ability_sleep_dagger	Signature	30	0
hero_haze	Signature_2	ability_smoke_bomb	Signature	33	0
hero_haze	Signature_3	ability_stacking_damage	Signature	0	0
hero_haze	Signature_4	ability_bullet_flurry	Ultimate	145	0
hero_hornet	Signature_1	citadel_ability_hornet_chain	Signature	40	0
hero_hornet	Signature_2	citadel_ability_hornet_leap	Signature	42	0
hero_hornet	Signature_3	citadel_ability_hornet_sting	Signature	32	0
hero_hornet	Signature_4	citadel_ability_hornet_snipe	Ultimate	50	2
hero_inferno	Signature_1	ability_incendiary_projectile	Signature	25	1
hero_inferno	Signature_2	ability_flame_dash	Signature	38	0
hero_inferno	Signature_3	ability_afterburn	Signature	0	0
hero_inferno	Signature_4	ability_fire_bomb	Ultimate	165	0
hero_kelvin	Signature_1	ability_ice_grenade	Signature	30	2
hero_kelvin	Signature_2	ability_icepath	Signature	50	0
hero_kelvin	Signature_3	ability_icebeam	Signature	28	0
hero_kelvin	Signature_4	ability_ice_dome	Ultimate	170	0
hero_krill	Signature_1	ability_intimidate	Signature	13	0
hero_krill	Signature_2	ability_burrow	Signature	40	0
hero_krill	Signature_3	ability_throw_sand	Signature	40	0
hero_krill	Signature_4	ability_ult_combo	Ultimate	130	0
hero_lash	Signature_1	citadel_ability_lash_down_strike	Signature	21	0
hero_lash	Signature_2	citadel_ability_lash	Signature	35	1
hero_lash	Signature_3	ability_lash_flog	Signature	26	0
hero_lash	Signature_4	citadel_ability_lash_ultimate	Ultimate	150	0
hero_magician	Signature_1	ability_magician_magicbolt	Signature	24	1
hero_magician	Signature_2	ability_magician_cloneturret	Signature	40	0
hero_magician	Signature_3	ability_magician_animalhexarea	Signature	26	0
hero_magician	Signature_4	ability_magician_copyult	Ultimate	85	0
hero_mirage	Signature_1	mirage_fire_beetles	Signature	35	2
hero_mirage	Signature_2	mirage_tornado	Signature	36	0
hero_mirage	Signature_3	mirage_sand_phantom	Signature	3	0
hero_mirage	Signature_4	mirage_teleport	Ultimate	120	0
hero_nano	Signature_1	ability_nano_clustergrenade	Signature	14	0
hero_nano	Signature_2	ability_nano_dash	Signature	13	0
hero_nano	Signature_3	ability_nano_catform	Signature	30	0
hero_nano	Signature_4	ability_nano_shadow_pulse	Ultimate	100	0
hero_necro	Signature_1	ability_necro_hauntingskull	Signature	0	4
hero_necro	Signature_2	ability_necro_zombiewall	Signature	34	0
hero_necro	Signature_3	ability_necro_fear	Signature	0	0
hero_necro	Signature_4	ability_necro_gravestone	Ultimate	120	0
hero_orion	Signature_1	ability_charged_shot	Signature	17	1
hero_orion	Signature_2	ability_power_jump	Signature	23	0
hero_orion	Signature_3	ability_immobilize_trap	Signature	34	0
hero_orion	Signature_4	ability_guided_arrow	Ultimate	110	0
hero_priest	Signature_1	ability_priest_flashbang	Signature	25	0
hero_priest	Signature_2	ability_priest_knockback	Signature	23	0
hero_priest	Signature_3	ability_priest_beartrap	Signature	28	2
hero_priest	Signature_4	ability_priest_weaponswap	Ultimate	140	0
hero_punkgoat	Signature_1	ability_punkgoat_ult	Signature	35	1
hero_punkgoat	Signature_2	ability_punkgoat_goatflip	Signature	32	0
hero_punkgoat	Signature_3	ability_punkgoat_blasted	Signature	27	0
hero_punkgoat	Signature_4	ability_punkgoat_tether	Ultimate	150	0
hero_shiv	Signature_1	citadel_ability_shiv_dagger	Signature	18	2
hero_shiv	Signature_2	citadel_ability_shiv_dash	Signature	16	0
hero_shiv	Signature_3	citadel_ability_shiv_defer_damage	Signature	20	0
hero_shiv	Signature_4	citadel_ability_shiv_killing_blow	Ultimate	125	0
hero_synth	Signature_1	synth_barrage	Signature	32	0
hero_synth	Signature_2	synth_plasma_flux	Signature	25	0
hero_synth	Signature_3	synth_pulse	Signature	17	0
hero_synth	Signature_4	synth_affliction	Ultimate	150	0
hero_targetdummy	Signature_1	targetdummy_ability_1	Signature	10.5	0
hero_targetdummy	Signature_2	targetdummy_ability_2	Signature	10.5	0
hero_targetdummy	Signature_3	targetdummy_ability_3	Signature	10.5	0
hero_targetdummy	Signature_4	targetdummy_ability_4	Ultimate	10.5	0
hero_tengu	Signature_1	citadel_ability_tengu_urn	Signature	32	1
hero_tengu	Signature_2	citadel_ability_tangotether	Signature	37	0
hero_tengu	Signature_3	citadel_ability_tengu_stone_form	Signature	40	0
hero_tengu	Signature_4	citadel_ability_tengu_airlift	Ultimate	85	0
hero_unicorn	Signature_1	ability_unicorn_radiantblast	Signature	20	0
hero_unicorn	Signature_2	ability_unicorn_prismaticguard	Signature	35	0
hero_unicorn	Signature_3	ability_unicorn_luminousstrike	Signature	33	1
hero_unicorn	Signature_4	ability_unicorn_dazzlingorb	Ultimate	140	0
hero_vampirebat	Signature_1	ability_vampirebat_steallife	Signature	16	0
hero_vampirebat	Signature_2	ability_vampirebat_batblink	Signature	32	0
hero_vampirebat	Signature_3	ability_vampirebat_lovebites	Signature	0	0
hero_vampirebat	Signature_4	ability_vampirebat_batswarm	Ultimate	130	0
hero_viper	Signature_1	ability_viper_debuffdagger	Signature	10	2
hero_viper	Signature_2	ability_viper_venom	Signature	28	0
hero_viper	Signature_3	ability_viper_snakedash	Signature	0	0
hero_viper	Signature_4	ability_viper_petrifybola	Ultimate	90	0
hero_viscous	Signature_1	viscous_goo_grenade	Signature	26	0
hero_viscous	Signature_2	viscous_restorative_goo	Signature	42	0
hero_viscous	Signature_3	viscous_telepunch	Signature	24	1
hero_viscous	Signature_4	viscous_goo_bowling_ball	Ultimate	130	0
hero_warden	Signature_1	ability_warden_crowd_control	Signature	12	0
hero_warden	Signature_2	ability_warden_high_alert	Signature	40	0
hero_warden	Signature_3	ability_warden_lock_down	Signature	34	0
hero_warden	Signature_4	ability_warden_riot_protocol	Ultimate	155	0
hero_werewolf	Signature_1	ability_werewolf_unloadgun	Signature	25	0
hero_werewolf	Signature_2	ability_werewolf_kickflip	Signature	21	0
hero_werewolf	Signature_3	ability_werewolf_netshot	Signature	23	0
hero_werewolf	Signature_4	ability_werewolf_transformation	Ultimate	70	0
hero_wraith	Signature_1	citadel_ability_card_toss	Signature	0.6	2
hero_wraith	Signature_2	citadel_ability_projectmind	Signature	46	0
hero_wraith	Signature_3	citadel_ability_wraith_rapidfire	Signature	45	0
hero_wraith	Signature_4	citadel_ability_psychic_lift	Ultimate	130	0
hero_yamato	Signature_1	citadel_ability_power_slash	Signature	12	0
hero_yamato	Signature_2	citadel_ability_flying_strike	Signature	36	0
hero_yamato	Signature_3	citadel_ability_healing_slash	Signature	16	0
hero_yamato	Signature_4	citadel_ability_infinity_slash	Ultimate	130	0
