hero	EAbilityResourceMax	EAbilityResourceRegenPerSecond	EAirDashDistanceInMeters	EAirDashDuration	EBaseHealthRegen	EBuildUpRate	EBulletLifesteal	ECritDamageBonusScale	ECritDamageReceivedScale	ECrouchSpeed	EDebuffResist	EGroundDashDistanceInMeters	EGroundDashDuration	EHeavyMeleeDamage	EHeroBulletLifestealEffectiveness	EHeroSpiritLifestealEffectiveness	ELightMeleeDamage	EMaxHealth	EMaxMoveSpeed	EMeleeResist	EMoveAcceleration	EProcBuildUpRateScale	EReloadSpeed	ESprintSpeed	EStamina	EStaminaRegenPerSecond	ETechArmorDamageReduction	ETechDuration	ETechRange	EWeaponPower	EWeaponPowerScale
hero_thumper	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_tokamak	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_trapper	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222	-15.0	1	1	0	1
hero_unicorn	0	0	8.0	0.43	1			0.75	1.0	4.75		10.0	0.62	116	1.0	1.0	50	690.0	6.2		4	1	1	1.6	4	0.2		1	1	0	1
hero_vampirebat	0	0	8.0	0.43	2.0			1.0	1.0	4.75	-8	10.0	0.62	116	1.0	1.0	50	660.0	6.5		4	1	1	1.6	2.0	0.238095		1	1	0	1
hero_vandal	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	4	0.222222		1	1	0	1
hero_viper	0	0	8.0	0.47	2.0			0.7	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	6.9		4	1	1	1.6	4	0.222222		1	1	0	1
hero_viscous	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	63	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_warden	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	805.0	6.3		4	1	1	1.6	3	0.222222		1	1	0	1
hero_werewolf	0	0	8.0	0.47	2.5			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	830.0	6.7		4	1	1	1.5	2	0.222222		1	1	0	1
hero_wraith	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	730.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_wrecker	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_yakuza	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_yamato	0	0	8.0	0.47	1.0			1.0	1.0	4.75		10.0	0.68	128	1.0	1.0	55	730.0	8.2		4	1	1	1.6	3	0.222222		1	1	0	1
