ability	tier	property	bonus
ability_familiar_attach	3	TechPowerPercent	15
ability_familiar_helpinghands	1	HelperCount	1
ability_familiar_helpinghands	2	BonusMoveSpeed	1.5m
ability_familiar_helpinghands	2	TechArmorGain	8
ability_familiar_helpinghands	3	HelperCount	2
ability_familiar_helpinghands	3	InfestDamageTakenPercent	20
ability_fencer_lunge	1	HealFixedHealth	35
ability_fencer_lunge	1	HealFixedHealth	1
ability_fencer_lunge	2	AbilityCooldown	-12
ability_fencer_lunge	2	BulletResist	60
ability_fencer_lunge	2	DashBuffDuration	1.5
ability_fencer_lunge	3	AttackDashRange	3.0m
ability_fencer_lunge	3	BaseDamage	30
ability_fencer_lunge	3	BaseDamage	1.15
ability_fencer_lunge	3	DashSpeed	550
ability_fencer_lunge	3	MaxDamageBeforePerfect	45
ability_fencer_lunge	3	MaxDamageBeforePerfect	1.15
ability_fencer_lunge	3	PerfectDamage	65
ability_fencer_lunge	3	PerfectDamage	1.15
ability_fencer_riposte	1	AbilityCooldown	-7
ability_fencer_riposte	2	MeleeResistReduction	-30
ability_fencer_riposte	3	StunDuration	1.6
ability_fencer_throwblade	1	BonusBulletSpeedPercent	25
ability_fencer_throwblade	1	BonusFireRate	25
ability_fencer_throwblade	1	BuffDuration	8
ability_fencer_throwblade	2	ResetsAirLimit	1
ability_fencer_throwblade	2	StaminaToRestore	1
ability_fencer_throwblade	3	RecastTime	4
ability_fencer_ultimate	1	DashRange	8m
ability_fencer_ultimate	2	AbilityCooldown	-40
ability_fencer_ultimate	3	BonusDamagePercent	40
ability_fire_bomb	1	Damage	100
ability_fire_bomb	2	AbilityCooldown	-75
ability_fire_bomb	2	LifeStealPercentOnHit	100
ability_fire_bomb	3	Radius	10m
ability_fire_bomb	3	StunDuration	0.9
ability_flame_dash	1	AbilityCooldown	-12
ability_flame_dash	2	DPS	20
ability_flame_dash	2	GroundFlameDuration	1
ability_flame_dash	3	AbilityCharges	2
ability_flame_dash	3	AbilityCooldownBetweenCharge	14
ability_frank_painaura	1	DebuffDuration	0.5
ability_frank_painaura	1	EnemyDashSlowPercent	-25
ability_frank_painaura	1	SlowPercent	25
ability_frank_painaura	2	MaxDPS	34
ability_frank_painaura	2	MinDps	6
ability_frank_painaura	3	IncomingDamagePercent	15
ability_frank_painaura	3	Radius	1m
ability_frank_revive	1	BonusDamagePerBullet	6
ability_frank_revive	1	BonusDamagePerBullet	0.06
ability_frank_revive	1	BonusFireRate	15
ability_frank_revive	2	RespawnHealthPercent	50
ability_frank_revive	3	AbilityCooldown	-110
ability_frank_revive	3	Damage	175
ability_frank_revive	3	StunDuration	1.5
ability_frank_selfzap	1	BonusMoveSpeed	3m
ability_frank_selfzap	2	AbilityCooldown	-8
ability_frank_selfzap	2	TotalHealthRegen	70
ability_frank_selfzap	3	AbilityCharges	1
ability_frank_selfzap	3	StatusResistancePercent	50
ability_frank_selfzap	3	TotalHealthRegen	0.9
ability_frank_shocktarget2	1	SlowDuration	2s
ability_frank_shocktarget2	1	SlowPercent	40
ability_frank_shocktarget2	2	Damage	50
ability_frank_shocktarget2	3	Damage	0.6
ability_frank_shocktarget2	3	MissingHealthPercentHeal	15
ability_gravity_lasso	1	Damage	80
ability_gravity_lasso	2	AbilityDuration	0.75
ability_gravity_lasso	3	AbilityCooldown	-50
ability_guided_arrow	1	Damage	85
ability_guided_arrow	2	AbilityCooldown	-45
ability_guided_arrow	3	LowHealthEnemyThresholdPct	22
ability_health_swap	1	AbilityCooldown	-60
ability_health_swap	2	SilenceDuration	3
ability_health_swap	2	SilenceRadius	25m
ability_health_swap	3	BonusFireRate	40
ability_health_swap	3	BonusSpirit	60
ability_health_swap	3	SelfBuffDuration	8
ability_health_swap	3	TechResist	50
ability_ice_dome	1	AbilityCooldown	-25
ability_ice_dome	2	AbilityDuration	1.5
ability_ice_dome	3	BonusHealthRegen	65
ability_ice_dome	3	BonusHealthRegen	1
ability_ice_dome	3	PurgeOnCast	1
ability_ice_grenade	1	Damage	30
ability_ice_grenade	1	HealAmount	30
ability_ice_grenade	2	AbilityCooldown	-10
ability_ice_grenade	2	PauseStaminaRegen	1
ability_ice_grenade	3	Damage	0.8
ability_ice_grenade	3	HealAmount	0.9
ability_ice_grenade	3	Radius	2m
ability_icebeam	1	MaxFireRateSlowPercent	25
ability_icebeam	1	MaxSlowPercent	25
ability_icebeam	2	DPS	20
ability_icebeam	2	DPS	0.6
ability_icebeam	3	AbilityCooldown	-13
ability_icebeam	3	BeamSplit	10m
ability_icebeam	3	BeamSplit	0.93
ability_icebeam	3	BeamSplitCount	2
ability_icepath	1	BulletResist	35
ability_icepath	1	MoveSpeedBonus	2m
ability_icepath	2	AbilityCooldown	-25
ability_icepath	3	BonusSpirit	20
ability_icepath	3	BonusSpiritPct	35
ability_immobilize_trap	1	AbilityCooldown	-20
ability_immobilize_trap	2	BulletArmorReduction	-15
ability_immobilize_trap	2	DebuffDuration	10
ability_immobilize_trap	3	Radius	1.5m
ability_immobilize_trap	3	TetherDuration	1
ability_incendiary_projectile	1	AbilityCharges	1
ability_incendiary_projectile	2	LifestealPercentHero	15
ability_incendiary_projectile	3	HealAmpReceivePenaltyPercent	-33
ability_incendiary_projectile	3	HealAmpRegenPenaltyPercent	-33
ability_incendiary_projectile	3	IncomingDamagePercentFromCaster	17
ability_intimidate	1	Damage	35
ability_intimidate	2	AbilityCooldown	-5
ability_intimidate	2	Radius	1m
ability_intimidate	3	DamageBonus	15
ability_intimidate	3	DebuffDuration	16
ability_lash_flog	1	EnemySlowDuration	3
ability_lash_flog	1	EnemySlowPct	35
ability_lash_flog	2	AbilityCooldown	-16
ability_lash_flog	2	FireRateSlow	30
ability_lash_flog	3	Damage	80
ability_lash_flog	3	HealPctVsHeroes	20
ability_lash_flog	3	HealPctVsNonHeroes	6
ability_lash_flog	3	TargetingConeAngle	40
ability_life_drain	1	LifeDrainPerSecond	18
ability_life_drain	2	AbilityDuration	2.5
ability_life_drain	3	AbilityCharges	3
ability_life_drain	3	AbilityCooldownBetweenCharge	0.1
ability_life_drain	3	LifeDrainPerSecond	0.4
ability_magician_animalhexarea	1	AbilityCooldown	-10
ability_magician_animalhexarea	2	HexDuration	1
ability_magician_animalhexarea	3	DamageAmpPercentage	7
ability_magician_animalhexarea	3	Radius	3m
ability_magician_cloneturret	1	AbilityCooldown	-10
ability_magician_cloneturret	2	AbilityCastRange	5m
ability_magician_cloneturret	2	AbilityDuration	7
ability_magician_cloneturret	2	LeashRadius	5m
ability_magician_cloneturret	3	BonusFireRate	60
ability_magician_cloneturret	3	Damage	12.599999
ability_magician_magicbolt	1	DebuffDuration	5
ability_magician_magicbolt	1	FireRateSlow	25
ability_magician_magicbolt	2	AbilityCooldown	-13
ability_magician_magicbolt	3	CloneDamagePercentage	50
ability_magician_magicbolt	3	MaxDamage	126
ability_nano_catform	1	BuffDuration	15
ability_nano_catform	2	HealthRegen	15
ability_nano_catform	2	MaxBonusMoveSpeedPercent	45
ability_nano_catform	3	DamageAmpBuildDuration	10
ability_nano_catform	3	DamageAmpDuration	6
ability_nano_catform	3	OutgoingDamagePercent	20
ability_nano_clustergrenade	1	AbilityCooldown	-3
ability_nano_clustergrenade	2	MeleeResistReduction	-6
ability_nano_clustergrenade	2	MeleeResistReductionDuration	6
ability_nano_clustergrenade	3	GrenadeCount	3
ability_nano_dash	1	HealAmount	25
ability_nano_dash	2	BonusGoldOnKill	200
ability_nano_dash	2	BountyDuration	3
ability_nano_dash	3	CooldownRefundPercent	50
ability_nano_dash	3	ImpactDamage	60
ability_nano_shadow_pulse	1	AbilityCooldown	-25
ability_nano_shadow_pulse	2	BonusMoveSpeedPercent	20
ability_nano_shadow_pulse	2	Damage	75
ability_nano_shadow_pulse	3	HealAmount	450
ability_nano_shadow_pulse	3	RefundCooldowns	1
ability_necro_fear	1	MaxStolenSpiritResist	5
ability_necro_fear	2	MaxStolenAttackDamage	20
ability_necro_fear	3	SkullBuildUp	0.15
ability_necro_fear	3	ZombieExplosionBuildUp	1.0
ability_necro_fear	3	ZombieMeleeBuildUp	0.15
ability_necro_gravestone	1	AbilityCooldown	-20
ability_necro_gravestone	2	AbilityDuration	10
ability_necro_gravestone	2	MoveSpeedPercent	25
ability_necro_gravestone	3	CurrentHealthDamagePercentage	5
ability_necro_hauntingskull	1	HealPerPickup	5
ability_necro_hauntingskull	1	HealPerPickup	0.1
ability_necro_hauntingskull	2	SlowDuration	1
ability_necro_hauntingskull	2	SlowPercent	30
ability_necro_hauntingskull	3	SkullCount	2
ability_necro_hauntingskull	3	SkullLifetime	4
ability_necro_zombiewall	1	AbilityDuration	2
ability_necro_zombiewall	2	Damage	90
ability_necro_zombiewall	2	ZombieWallLength	10m
ability_necro_zombiewall	3	AbilityCooldown	-10
ability_necro_zombiewall	3	ImmobilizeDuration	0.75
ability_necro_zombiewall	3	SummonCount	1
ability_power_jump	1	SlowDuration	1.5
ability_power_jump	1	SlowPercent	30
ability_power_jump	1	WeaponDamageBonus	3
ability_power_jump	2	AbilityCooldown	-12
ability_power_jump	3	BulletLifestealPercent	30
ability_power_jump	3	EvasionPercent	30
ability_power_jump	3	TechLifestealPercent	30
ability_power_surge	1	AbilityCooldown	-18
ability_power_surge	2	BonusMoveSpeed	3m
ability_power_surge	2	BonusPerChain	8
ability_power_surge	2	BonusPerChain	0.23
ability_power_surge	2	DamagePerChain	8
ability_power_surge	2	DamagePerChain	0.23
ability_power_surge	3	AbilityDuration	10
ability_power_surge	3	DebuffDuration	10
ability_power_surge	3	TechResistDebuff	-15
ability_priest_beartrap	1	AbilityCooldown	-11
ability_priest_beartrap	2	ImmobilizeDuration	1.0
ability_priest_beartrap	3	AbilityCharges	1
ability_priest_beartrap	3	IncomingDamagePercentFromCaster	30
ability_priest_flashbang	1	AbilityCooldown	-5
ability_priest_flashbang	2	BurnDuration	1.0
ability_priest_flashbang	2	BurnRadius	1.5m
ability_priest_flashbang	2	Radius	1.5m
ability_priest_flashbang	3	AbilityCharges	1
ability_priest_flashbang	3	AbilityCooldownBetweenCharge	3
ability_priest_flashbang	3	HealAmpReceivePenaltyPercent	-20
ability_priest_flashbang	3	HealAmpRegenPenaltyPercent	-20
ability_priest_knockback	1	Damage	25
ability_priest_knockback	2	AbilityCooldown	-10
ability_priest_knockback	2	StunDuration	0.4
ability_priest_knockback	3	BuffDuration	5
ability_priest_weaponswap	1	BonusMoveSpeed	1.2m
ability_priest_weaponswap	2	AbilityCooldown	-15
ability_priest_weaponswap	2	BonusDamage	65
ability_priest_weaponswap	3	AllStakesBlessed	1
ability_punkgoat_blasted	1	BonusMoveSpeed	2.25m
ability_punkgoat_blasted	2	BulletDamageAmp	7
ability_punkgoat_blasted	2	GainSlamOnUse	1
ability_punkgoat_blasted	3	MaxHealthMelee	50
ability_punkgoat_blasted	3	MaxHealthMelee	0.6
ability_punkgoat_goatflip	1	WeaponDamageBurst	25
ability_punkgoat_goatflip	1	WeaponDamageBurstDuration	5
ability_punkgoat_goatflip	2	AbilityDuration	0.4
ability_punkgoat_goatflip	3	AbilityCooldown	-13
ability_punkgoat_goatflip	3	DealMaxHealthDamagePct	10
ability_punkgoat_goatflip	3	DealMaxHealthDamagePct	0.017
ability_punkgoat_tether	1	BulletResist	40
ability_punkgoat_tether	1	TechResist	40
ability_punkgoat_tether	2	AbilityCooldown	-50
ability_punkgoat_tether	3	AbilityCastRange	5m
ability_punkgoat_tether	3	UnstoppablePerHero	1.3
ability_punkgoat_ult	1	AbilityCooldown	-10
ability_punkgoat_ult	2	AbilityCastRange	2m
ability_punkgoat_ult	2	AbilityCharges	1
ability_punkgoat_ult	3	AbilityCooldownBetweenCharge	-3
ability_punkgoat_ult	3	CountsAsHeavyMelee	1
ability_punkgoat_ult	3	CountsAsLightMelee	-1
ability_punkgoat_ult	3	HeavyMeleeDamage	0.6
ability_punkgoat_ult	3	HeavyMeleeDamage	0
ability_punkgoat_ult	3	MeleeDamage	0
ability_punkgoat_ult	3	MeleeDamage	0
ability_sleep_dagger	1	BulletResistReduction	-8
ability_sleep_dagger	1	BulletResistReductionDuration	6
ability_sleep_dagger	2	AbilityCooldown	-17
ability_sleep_dagger	3	DebuffDuration	3
ability_sleep_dagger	3	GroundDashReductionPercent	-50
ability_sleep_dagger	3	SleepDuration	1
ability_sleep_dagger	3	SlowPercent	50
ability_smoke_bomb	1	InvisMoveSpeedMod	7m
ability_smoke_bomb	2	AbilityCharges	2
ability_smoke_bomb	2	AbilityCooldownBetweenCharge	7
ability_smoke_bomb	3	BulletLifesteal	40
ability_smoke_bomb	3	DispelOnUse	1
ability_smoke_bomb	3	PostInvisBuffDuration	5
ability_stacking_damage	1	ProcDamage	40
ability_stacking_damage	1	ProcDamage	0.8
ability_stacking_damage	1	ProcDamageStackCount	20
ability_stacking_damage	1	SlowDuration	2
ability_stacking_damage	1	SlowPercent	15
ability_stacking_damage	2	AbilityDuration	5
ability_stacking_damage	2	MaxStacks	40
ability_stacking_damage	3	DamageBonusFixedPerStack	0.14
ability_throw_sand	1	AbilityCastRange	5m
ability_throw_sand	1	Damage	50
ability_throw_sand	2	GroundDashReductionPercent	-25
ability_throw_sand	2	SlowPercent	25
ability_throw_sand	3	AbilityCooldown	-20
ability_throw_sand	3	AbilityDuration	1.5
ability_ult_combo	1	LifeStealPercentOnHit	100
ability_ult_combo	2	AbilityCooldown	-35
ability_ult_combo	2	BulletResist	50
ability_ult_combo	3	AbilityChannelTime	0.7
ability_ult_combo	3	DPS	40
ability_ult_combo	3	DPS	0.4
ability_unicorn_dazzlingorb	1	GroundDashReductionPercent	-15
ability_unicorn_dazzlingorb	1	SlowPercent	20
ability_unicorn_dazzlingorb	2	Damage	70
ability_unicorn_dazzlingorb	3	AbilityCooldown	-35
ability_unicorn_dazzlingorb	3	MaxBounces	8
ability_unicorn_luminousstrike	1	AbilityCharges	2
ability_unicorn_luminousstrike	2	AbilityCooldown	-22
ability_unicorn_luminousstrike	2	ImpactDamage	80
ability_unicorn_luminousstrike	3	FireRatePerStack	9
ability_unicorn_luminousstrike	3	MagicIncreasePerStack	3
ability_unicorn_prismaticguard	1	BonusMoveSpeed	3.5m
ability_unicorn_prismaticguard	2	CombatBarrier	80
ability_unicorn_prismaticguard	2	CombatBarrier	0.7
ability_unicorn_prismaticguard	3	AbilityCooldown	-18
ability_unicorn_prismaticguard	3	DebuffDuration	1.5
ability_unicorn_radiantblast	1	AbilityLifestealPercentHero	15
ability_unicorn_radiantblast	2	AbilityCastRange	3m
ability_unicorn_radiantblast	2	AbilityCooldown	-10
ability_unicorn_radiantblast	3	Damage	25
ability_unicorn_radiantblast	3	Damage	0.2
ability_vampirebat_batblink	1	BonusBullets	8
ability_vampirebat_batblink	1	BonusFireRate	25
ability_vampirebat_batblink	1	BuffDuration	8
ability_vampirebat_batblink	2	AbilityCooldown	-10
ability_vampirebat_batblink	3	MaxRecasts	1
ability_vampirebat_batswarm	1	Damage	1.74
ability_vampirebat_batswarm	2	AbilityCooldown	-55
ability_vampirebat_batswarm	3	CurrentHealthPercent	0.5
ability_vampirebat_lovebites	1	SlowDuration	3
ability_vampirebat_lovebites	1	SlowPercent	30
ability_vampirebat_lovebites	2	BonusDamage	45
ability_vampirebat_lovebites	2	MagicDamagePerBullet	3
ability_vampirebat_lovebites	3	BonusFireRate	25
ability_vampirebat_lovebites	3	BuffDuration	5
ability_vampirebat_lovebites	3	PerTargetCooldown	-5
ability_vampirebat_steallife	1	Damage	60
ability_vampirebat_steallife	2	AbilityCooldown	-8
ability_vampirebat_steallife	2	RakeHealPerKill	30
ability_vampirebat_steallife	3	MissingHealthDamagePercentage	7
ability_vampirebat_steallife	3	RakeHealPerKill	1.2
ability_viper_debuffdagger	1	AbilityCharges	1
ability_viper_debuffdagger	2	BulletResistReduction	-8
ability_viper_debuffdagger	2	BulletResistReductionPerStack	-6
ability_viper_debuffdagger	3	CooldownRefundPercent	55
ability_viper_debuffdagger	3	MaxStacks	2
ability_viper_petrifybola	1	PetrifyDamage	49.5
ability_viper_petrifybola	2	AbilityCooldown	-25
ability_viper_petrifybola	3	PetrifyDuration	1.0
ability_viper_snakedash	1	SlideScale	20
ability_viper_snakedash	2	Stamina	2
ability_viper_snakedash	3	AbilityCooldown	8
ability_viper_snakedash	3	BuffDuration	5
ability_viper_snakedash	3	CombatBarrier	180
ability_viper_snakedash	3	CombatBarrier	0.6
ability_viper_venom	1	VenomMaxDamage	31.5
ability_viper_venom	2	AbilityCooldown	-12
ability_viper_venom	2	HealAmpReceivePenaltyPercent	-40
ability_viper_venom	2	HealAmpRegenPenaltyPercent	-40
ability_viper_venom	3	BuildUpPerShot	4.5
ability_warden_crowd_control	1	StaminaReduction	1
ability_warden_crowd_control	2	Damage	35
ability_warden_crowd_control	2	WeaponPowerDebuff	-25
ability_warden_crowd_control	3	AbilityCooldown	-7
ability_warden_crowd_control	3	FireRateSlow	30
ability_warden_crowd_control	3	Radius	2m
ability_warden_high_alert	1	MoveSpeedBonusPct	20
ability_warden_high_alert	2	AbilityCooldown	-22
ability_warden_high_alert	2	AbilityDuration	2
ability_warden_high_alert	3	CombatBarrier	2.5
ability_warden_high_alert	3	StatusResistancePercent	40
ability_warden_lock_down	1	BulletArmorReduction	20
ability_warden_lock_down	1	BulletArmorReductionDuration	5
ability_warden_lock_down	2	ImmobilizeDuration	0.75
ability_warden_lock_down	3	AbilityCooldown	-14
ability_warden_lock_down	3	SilenceDebuff	1
ability_warden_riot_protocol	1	Radius	4m
ability_warden_riot_protocol	2	AbilityCooldown	-35
ability_warden_riot_protocol	2	PulseDPS	40.5
ability_warden_riot_protocol	3	AbilityDuration	4
ability_warden_riot_protocol	3	BulletResist	30
ability_warden_riot_protocol	3	TechResist	30
ability_warden_riot_protocol	3	UnstoppableCastDelay	1
ability_werewolf_kickflip	1	AbilityCooldown	-6
ability_werewolf_kickflip	2	StaminaRestore	2
ability_werewolf_kickflip	3	BonusDamage	80
ability_werewolf_kickflip	3	DebuffDuration	5
ability_werewolf_kickflip	3	OutgoingDamagePercent	-35
ability_werewolf_netshot	1	SlowPercent	25
ability_werewolf_netshot	2	AbilityCooldown	-8
ability_werewolf_netshot	3	DebuffDuration	0.75
ability_werewolf_netshot	3	RicochetCount	2
ability_werewolf_netshot	3	RicochetRange	15m
ability_werewolf_transformation	1	BulletResist	20
ability_werewolf_transformation	1	TechResist	20
ability_werewolf_transformation	2	BonusHealth	200
ability_werewolf_transformation	2	BonusMoveSpeed	4m
ability_werewolf_transformation	3	KillCreditWindow	1.5
ability_werewolf_transformation	3	KillDurationBonus	15
ability_werewolf_unloadgun	1	BaseAttackDamagePercent	15
ability_werewolf_unloadgun	2	AbilityCooldown	-10
ability_werewolf_unloadgun	3	BonusCurrentHealthDamagePercentage	7
ability_werewolf_unloadgun	3	MaxStacks	3
ability_werewolf_unloadgun	3	StackDuration	3
citadel_ability_bebop_laser_beam	1	AbilityCooldown	-25
citadel_ability_bebop_laser_beam	2	DPS	108
citadel_ability_bebop_laser_beam	3	BeamLifesteal	65
citadel_ability_bebop_laser_beam	3	BeamLifestealNonHeroPercent	20
citadel_ability_bull_charge	1	SlowDuration	3
citadel_ability_bull_charge	1	SlowPercent	40
citadel_ability_bull_charge	2	StunDuration	0.8
citadel_ability_bull_charge	3	AbilityCooldown	-20
citadel_ability_bull_charge	3	WeaponDamageBonus	1.5
citadel_ability_bull_charge	3	WeaponPowerIncreaseDuration	6
citadel_ability_bull_heal	1	AbilityCooldown	-20
citadel_ability_bull_heal	2	AbilityDuration	2
citadel_ability_bull_heal	3	DPS	18
citadel_ability_bull_heal	3	DPS	0.12
citadel_ability_bull_heal	3	Radius	3m
citadel_ability_bull_leap	1	AbilityCooldown	-35
citadel_ability_bull_leap	2	StunDuration	0.8
citadel_ability_bull_leap	3	ImmunityDuration	6
citadel_ability_bull_leap	3	ImpactRadius	6m
citadel_ability_card_toss	1	AbilityCharges	2
citadel_ability_card_toss	2	Damage	40
citadel_ability_card_toss	2	Damage	0.4
citadel_ability_card_toss	3	ClubSlowPercent	-20
citadel_ability_card_toss	3	DiamondResistShred	-5
citadel_ability_card_toss	3	HeartHeal	75
citadel_ability_card_toss	3	HeartHeal	0.5
citadel_ability_card_toss	3	ImprovedJokerChance	1
citadel_ability_card_toss	3	SpadeDamageBonus	40
citadel_ability_chrono_kinetic_carbine	1	MaxSlowDuration	0.4
citadel_ability_chrono_kinetic_carbine	2	AbilityCooldown	-12
citadel_ability_chrono_kinetic_carbine	3	MaxBonusBulletDamage	55
citadel_ability_chrono_kinetic_carbine	3	SpeedBoostDuration	2
citadel_ability_chrono_pulse_grenade	1	AbilityCooldown	-12
citadel_ability_chrono_pulse_grenade	2	PulseDamage	20
citadel_ability_chrono_pulse_grenade	2	PulseDamage	0.5
citadel_ability_chrono_pulse_grenade	3	AbilityDuration	1.6
citadel_ability_chrono_pulse_grenade	3	DamageAmplificationPerStack	4
citadel_ability_chrono_swap	1	BarrierDuration	8
citadel_ability_chrono_swap	1	CombatBarrier	200
citadel_ability_chrono_swap	1	CombatBarrier	1.5
citadel_ability_chrono_swap	2	AbilityCastRange	13m
citadel_ability_chrono_swap	2	AbilityCooldown	-35
citadel_ability_chrono_swap	3	MaxHealthDamage	10
citadel_ability_chrono_swap	3	MultiSwap	7m
citadel_ability_chrono_time_wall	1	AbilityDuration	3.5
citadel_ability_chrono_time_wall	1	TimeWallHeight	1m
citadel_ability_chrono_time_wall	1	TimeWallWidth	3m
citadel_ability_chrono_time_wall	2	DebuffDuration	2.3
citadel_ability_chrono_time_wall	2	FriendlyBulletDamageBonus	35
citadel_ability_chrono_time_wall	3	AbilityCharges	3
citadel_ability_chrono_time_wall	3	AbilityCooldownBetweenCharge	2
citadel_ability_fissure_wall	1	BonusDamagePercent	20
citadel_ability_fissure_wall	1	DebuffDuration	7
citadel_ability_fissure_wall	2	AbilityCooldown	-20
citadel_ability_fissure_wall	2	AbilityDuration	2
