item	property	stat	value
upgrade_aoe_root	BonusSprintSpeed	SPRINT_SPEED_BONUS	0.75m
upgrade_aoe_root	GroundDashReductionPercent	MOVEMENT_GROUND_DASH_REDUCTION_PERCENT	-40
upgrade_aoe_root	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	35
upgrade_aoe_root	TechRadiusMultiplier	TECH_RADIUS_PERCENT	8
upgrade_aoe_root	TechRangeMultiplier	TECH_RANGE_PERCENT	8
upgrade_aoe_silence	BonusHealth	HEALTH_MAX	150
upgrade_aoe_silence	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	3
upgrade_aoe_silence	TechResist	TECH_RESIST_REDUCTION	-20
upgrade_aprounds	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	8
upgrade_aprounds	BonusBulletSpeedPercent	BONUS_BULLET_SPEED_PERCENT	60
upgrade_arcane_eater	BonusFireRate	FIRE_RATE	7
upgrade_arcane_extension	BonusAbilityDurationPercent	BONUS_ABILITY_DURATION_PERCENTAGE	22
upgrade_arcane_medallion	TechPower	TECH_POWER	35
upgrade_arcane_surge	BonusAbilityDurationPercent	BONUS_ABILITY_DURATION_PERCENTAGE	15
upgrade_arcane_surge	SpiritPower	TECH_POWER	20
upgrade_arcane_surge	Stamina	STAMINA	1
upgrade_arcane_surge	StaminaCooldownReduction	STAMINA_REGEN_PER_SECOND_PERCENTAGE	12
upgrade_arcane_surge	TechRadiusMultiplierBuff	TECH_RADIUS_PERCENT	12
upgrade_arcane_surge	TechRangeMultiplierBuff	TECH_RANGE_PERCENT	12
upgrade_arctic_blast	ChannelMoveSpeed	INVALID	-1
upgrade_arctic_blast	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	60
upgrade_arctic_blast	TechResist	TECH_RESIST	10
upgrade_attack_speed_1	BonusFireRate	FIRE_RATE	15
upgrade_attack_speed_2	BonusFireRate	FIRE_RATE	25
upgrade_auto_cleanse	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	10
upgrade_auto_cleanse	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	2.0
upgrade_auto_cleanse	TechResist	TECH_RESIST	10
upgrade_auto_cleanse	VexBarrierCombatBarrier	BARRIER_HEALTH	325
upgrade_banshee_slugs	BonusHealth	HEALTH_MAX	125
upgrade_banshee_slugs	BulletResistReduction	BULLET_AND_MELEE_RESIST_REDUCTION	-16
upgrade_banshee_slugs	HealAmpReceivePenaltyPercent	HEAL_AMP_RECEIVE_PERCENT	-35
upgrade_banshee_slugs	HealAmpRegenPenaltyPercent	HEAL_AMP_REGEN_PERCENT	-35
upgrade_banshee_slugs	MagicResistReduction	TECH_RESIST_REDUCTION	-16
upgrade_belt_fed_magazine	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	125
upgrade_berserker	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	8
upgrade_blitz_bullets	BonusFireRate	FIRE_RATE	20
upgrade_blitz_bullets	BonusSprintSpeed	SPRINT_SPEED_BONUS	0.75m
upgrade_blood_tribute	BonusFireRate	FIRE_RATE	35
upgrade_blood_tribute	BonusMoveSpeed	MOVEMENT_SPEED_MAX	2.0m
upgrade_blood_tribute	InnateStatusResistancePercent	STATUS_RESISTANCE	8
upgrade_blood_tribute	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	4
upgrade_blood_tribute	StatusResistancePercent	STATUS_RESISTANCE	35
upgrade_blood_tribute	TechResist	TECH_RESIST	8
upgrade_bonus_ability_charge_3	BonusAbilityCharges	BONUS_ABILITY_CHARGES	3
upgrade_boundless_spirit	BonusHealth	HEALTH_MAX	75
upgrade_boundless_spirit	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	4
upgrade_boundless_spirit	TechPower	TECH_POWER	30
upgrade_boundless_spirit	TechPowerPercent	TECH_POWER_PERCENT	15
upgrade_boxing_glove	BonusHealth	HEALTH_MAX	125
upgrade_boxing_glove	BonusMeleeDamagePercent	MELEE_DAMAGE_INCREASE	16
upgrade_boxing_glove	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	60
upgrade_bullet_armor	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	18
upgrade_bullet_armor_reduction_aura	BonusHealth	HEALTH_MAX	100
upgrade_bullet_armor_reduction_aura	BonusSprintSpeed	SPRINT_SPEED_BONUS	0.75m
upgrade_bullet_armor_reduction_aura	FireRateSlow	FIRE_RATE_SLOW	15
upgrade_bullet_damage_reduction_aura	FireRateSlow	FIRE_RATE_SLOW	30
upgrade_bullet_resist_shredder	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	9
upgrade_bullet_resist_shredder	BulletArmorReduction	BULLET_AND_MELEE_RESIST_REDUCTION	-10
upgrade_bullet_resist_shredder	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	9
upgrade_bulletshredimbue	TechRadiusMultiplier	TECH_RADIUS_PERCENT	22
upgrade_bulletshredimbue	TechRangeMultiplier	TECH_RANGE_PERCENT	22
upgrade_bulletshredimbue	WeaponPowerPerStack	WEAPON_DAMAGE_INCREASE	20
upgrade_bulletshredimbue	WeaponPowerPerStackNonHero	WEAPON_DAMAGE_INCREASE	5
upgrade_burst_fire	ActivatedFireRate	FIRE_RATE	32
upgrade_burst_fire	BonusFireRate	FIRE_RATE	10
upgrade_burst_fire	BonusMoveSpeed	MOVEMENT_SPEED_MAX	1.25m
upgrade_burst_fire	SlideScale	MOVEMENT_SLIDE_DISTANCE_SCALE	50
upgrade_burst_fire_actuator	BaseBonusWeaponPower	WEAPON_POWER	5
upgrade_capacitor	BonusFireRate	FIRE_RATE	5
upgrade_cardio_calibrator	BonusMoveSpeed	MOVEMENT_SPEED_MAX	2.0m
upgrade_cardio_calibrator	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	2
upgrade_cardio_calibrator	SlowResistancePercent	MOVEMENT_SLOW_RESISTANCE	25
upgrade_celestial_guidance	BuffMoveSpeedBonus	MOVEMENT_SPEED_MAX	5m
upgrade_celestial_guidance	StaminaCooldownReduction	STAMINA_REGEN_PER_SECOND_PERCENTAGE	100
upgrade_charge_mastery	BonusAbilityCharges	BONUS_ABILITY_CHARGES	4
upgrade_charge_mastery	BonusChargedAbilityDamage	ALL_DAMAGE_MULTIPLIER	15
upgrade_charge_mastery	CooldownBetweenChargeReduction	COOLDOWN_BETWEEN_CHARGE_REDUCTION_PERCENTAGE	50
upgrade_cheat_death	BonusHealth	HEALTH_MAX	200
upgrade_cheat_death	BonusMoveSpeed	MOVEMENT_SPEED_MAX	0m
upgrade_cheat_death	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	15
upgrade_cheat_death	DeathImmunityDamageReduction	ALL_DAMAGE_MULTIPLIER	-60
upgrade_cheat_death	HealAmpReceivePenaltyPercent	HEAL_AMP_RECEIVE_PERCENT	-60
upgrade_cheat_death	HealAmpRegenPenaltyPercent	HEAL_AMP_REGEN_PERCENT	-60
upgrade_chonky	BonusHealth	HEALTH_MAX	375
upgrade_chonky	BonusMoveSpeed	MOVEMENT_SPEED_MAX	1.5m
upgrade_clip_size	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	8
upgrade_clip_size	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	30
upgrade_clip_size_2	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	30
upgrade_clip_size_3	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	60
upgrade_clip_size_fixed	BonusClipSize	AMMO_CLIP_SIZE	6
upgrade_clip_size_fixed_t3	BonusClipSize	AMMO_CLIP_SIZE	12
upgrade_cloak_of_opportunity	BonusMoveSpeed	MOVEMENT_SPEED_MAX	3m
upgrade_cloak_of_opportunity	CombatBarrier	BARRIER_HEALTH	500
upgrade_cloaking_device_active	AmbushBonusFireRate	FIRE_RATE	25
upgrade_cloaking_device_active	AmbushBonusMeleeDamage	MELEE_DAMAGE_INCREASE	25
upgrade_cloaking_device_active	AmbushBonusTechPower	TECH_POWER	25
upgrade_cloaking_device_active	BonusSprintSpeed	SPRINT_SPEED_BONUS	1.5m
upgrade_cloaking_device_active	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	5
upgrade_close_quarter_combat	BonusHealth	HEALTH_MAX	75
upgrade_close_quarter_combat	CloseRangeBonusDamageRange	BONUS_WEAPON_DAMAGE_CLOSE_RANGE_MAX_RANGE	15m
upgrade_close_quarter_combat	CloseRangeBonusWeaponPower	CLOSE_RANGE_WEAPON_DAMAGE_INCREASE	50
upgrade_close_quarter_combat	MeleeResistPercent	MELEE_RESIST	30
upgrade_close_quarter_combat	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	25
upgrade_close_range	CloseRangeBonusDamageRange	BONUS_WEAPON_DAMAGE_CLOSE_RANGE_MAX_RANGE	15m
upgrade_close_range	CloseRangeBonusWeaponPower	CLOSE_RANGE_WEAPON_DAMAGE_INCREASE	20
upgrade_close_range	MeleeResistPercent	MELEE_RESIST	20
upgrade_cold_front	ChannelMoveSpeed	INVALID	-1
upgrade_cold_front	MovementSpeedSlow	MOVEMENT_SPEED_SLOW_PERCENT	60
upgrade_cold_front	TechResist	TECH_RESIST	6
upgrade_colossus	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	15
upgrade_colossus	BonusBaseHealth	BASE_HEALTH_PERCENT	25
upgrade_colossus	BonusMeleeDamagePercent	MELEE_DAMAGE_INCREASE	30
upgrade_colossus	BuffBulletResist	BULLET_ARMOR_DAMAGE_RESIST	35
upgrade_colossus	BuffTechResist	TECH_RESIST	35
upgrade_colossus	GroundDashReductionPercent	MOVEMENT_GROUND_DASH_REDUCTION_PERCENT	-25
upgrade_colossus	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	30
upgrade_containment	BonusSprintSpeed	SPRINT_SPEED_BONUS	0.5m
upgrade_containment	GroundDashReductionPercent	MOVEMENT_GROUND_DASH_REDUCTION_PERCENT	-30
upgrade_containment	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	20
upgrade_cooldown_reduction	CooldownReduction	COOLDOWN_REDUCTION_PERCENTAGE	20
upgrade_cooldown_reduction	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	4
upgrade_corpse_explosion	BonusHealth	HEALTH_MAX	110
upgrade_corpse_explosion	BonusHealthRegen	HEALTH_REGEN_PER_SECOND	3
upgrade_corpse_explosion	BonusSprintSpeed	SPRINT_SPEED_BONUS	1m
upgrade_corpse_explosion	TechPower	TECH_POWER	6
upgrade_counterspell	BonusHealth	HEALTH_MAX	50
upgrade_counterspell	BonusMoveSpeed	MOVEMENT_SPEED_MAX	1.75m
upgrade_counterspell	SpiritPower	TECH_POWER	20
upgrade_counterspell	SpiritPowerInnate	TECH_POWER	5
upgrade_crackshot	SpiritPower	TECH_POWER	7
upgrade_critshot	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	30
upgrade_crushing_fists	BonusMeleeDamagePercent	MELEE_DAMAGE_INCREASE	22
upgrade_crushing_fists	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	12
upgrade_crushing_fists	BulletResistReduction	BULLET_AND_MELEE_RESIST_REDUCTION	-4
upgrade_crushing_fists	MeleeDistanceScale	MELEE_TRAVEL_DISTANCE_PERCENTAGE	60
upgrade_damage_recycler	AbilityLifestealPercentHero	TECH_LIFESTEAL	25
upgrade_damage_recycler	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	12
upgrade_damage_recycler	BonusHealth	HEALTH_MAX	180
upgrade_damage_recycler	BulletLifestealPercent	BULLET_LIFESTEAL	25
upgrade_damage_recycler	TechPower	TECH_POWER	12
upgrade_debuff_reducer	BonusHealth	HEALTH_MAX	90
upgrade_debuff_reducer	StatusResistancePercent	STATUS_RESISTANCE	25
upgrade_deflecting_armor	BonusHealth	HEALTH_MAX	130
upgrade_disarm	BonusHealth	HEALTH_MAX	25
upgrade_disarm	FireRateSlow	FIRE_RATE_SLOW	30
upgrade_discord	BonusHealth	HEALTH_MAX	100
upgrade_discord	StatusResistancePercent	STATUS_RESISTANCE	17
upgrade_discord	TechResist	TECH_RESIST	40
upgrade_divine_barrier	BonusMoveSpeed	MOVEMENT_SPEED_MAX	2.75m
upgrade_divine_barrier	CombatBarrier	BARRIER_HEALTH	600
upgrade_divine_barrier	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	1.5
upgrade_divine_barrier	TechRadiusMultiplier	TECH_RADIUS_PERCENT	10
upgrade_divine_barrier	TechRangeMultiplier	TECH_RANGE_PERCENT	10
upgrade_diviners_kevlar	BonusAbilityDurationPercent	BONUS_ABILITY_DURATION_PERCENTAGE	15
upgrade_diviners_kevlar	CombatBarrier	BARRIER_HEALTH	1000
upgrade_diviners_kevlar	TechPower	TECH_POWER	35
upgrade_dps_aura	ActiveBonusMoveSpeed	MOVEMENT_SPEED_MAX	2.25m
upgrade_dps_aura	BonusFireRate	FIRE_RATE	26
upgrade_dps_aura	BonusSprintSpeed	SPRINT_SPEED_BONUS	1.5m
upgrade_dps_aura	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	17
upgrade_drum_magazine	BonusClipSize	AMMO_CLIP_SIZE	20
upgrade_drum_magazine	ReloadSpeedMultipler	RELOAD_SPEED	-25
upgrade_duration_extender	BonusAbilityDurationPercent	BONUS_ABILITY_DURATION_PERCENTAGE	20
upgrade_eldritch_shot	GroundDashReductionPercent	MOVEMENT_GROUND_DASH_REDUCTION_PERCENT	-40
upgrade_eldritch_shot	HealAmpReceivePenaltyPercent	HEAL_AMP_RECEIVE_PERCENT	-40
upgrade_eldritch_shot	HealAmpRegenPenaltyPercent	HEAL_AMP_REGEN_PERCENT	-40
upgrade_eldritch_shot	MovementSpeedSlow	MOVEMENT_SPEED_SLOW_PERCENT	40
upgrade_eldritch_shot	OutgoingDamagePenaltyPercent	ALL_DAMAGE_MULTIPLIER	-40
upgrade_electric_slippers	FireRateWhileSliding	FIRE_RATE	60
upgrade_electric_slippers	SlideScale	MOVEMENT_SLIDE_DISTANCE_SCALE	80
upgrade_electric_slippers	SlideTurnScale	MOVEMENT_SLIDE_TURN_SCALE	100
upgrade_electric_slippers	Stamina	STAMINA	2
upgrade_enchanted_holsters	BonusFireRate	FIRE_RATE	11
upgrade_enchanted_holsters	CooldownReduction	COOLDOWN_REDUCTION_PERCENTAGE	5
upgrade_enchanted_holsters	ReloadSpeedMultipler	RELOAD_SPEED	-10
upgrade_endurance	BonusHealthRegen	HEALTH_REGEN_PER_SECOND	2.5
upgrade_endurance	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	1.5
upgrade_escalating_exposure	TechArmorDamageReduction	TECH_RESIST_REDUCTION	-8
upgrade_escalating_exposure	TechResist	TECH_RESIST	17
upgrade_eternal_gift	RespawnTime	RESPAWN_TIME_PERCENTAGE	-70
upgrade_ethereal_bullets	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	20
upgrade_ethereal_bullets	BonusFireRate	FIRE_RATE	22
upgrade_ethereal_bullets	TechPower	TECH_POWER	7
upgrade_express_shot	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	8
upgrade_express_shot	BonusBulletSpeedPercent	BONUS_BULLET_SPEED_PERCENT	60
upgrade_express_shot	ProcBaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	125
upgrade_express_shot	ProcBaseAttackDamagePercentAltFire	WEAPON_DAMAGE_INCREASE	40
upgrade_express_shot	ProcBulletVelocity	BONUS_BULLET_SPEED_PERCENT	100
upgrade_extra_charge	BonusAbilityCharges	BONUS_ABILITY_CHARGES	1
upgrade_extra_charge	BonusSpiritForChargedAbilities	TECH_POWER	7
upgrade_fervor	BonusFireRate	FIRE_RATE	15
upgrade_fervor	BonusHealth	HEALTH_MAX	160
upgrade_fervor	FervorFireRate	FIRE_RATE	40
upgrade_fervor	FervorMovespeed	MOVEMENT_SPEED_MAX	4m
upgrade_fervor	FervorStatusResistancePercent	STATUS_RESISTANCE	40
upgrade_fire_rate_aura	BonusFireRate	FIRE_RATE	10
upgrade_fleetfoot_boots	ActiveBonusMoveSpeed	MOVEMENT_SPEED_MAX	3.0m
upgrade_fleetfoot_boots	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	6
upgrade_fleetfoot_boots	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	6
upgrade_fleetfoot_boots	MoveWhileShootingSpeedPenaltyReductionPercent	MOVEMENT_SPEED_WHILE_SHOOTING_PENALTY_REDUCTION_PERCENT	100
upgrade_fleetfoot_boots	MoveWhileZoomedSpeedPenaltyReductionPercent	MOVEMENT_SPEED_WHILE_ZOOMED_PENALTY_REDUCTION_PERCENT	100
upgrade_fleetfoot_boots	SlideScale	MOVEMENT_SLIDE_DISTANCE_SCALE	35
upgrade_fleetfoot_boots	SlowResistancePercent	MOVEMENT_SLOW_RESISTANCE	40
upgrade_focus_lens	BonusFireRate	FIRE_RATE	10
upgrade_focus_lens	MagicResistReduction	TECH_RESIST_REDUCTION	-9
upgrade_focus_lens	TechPowerReduction	TECH_POWER	-30
upgrade_frenzy	BulletArmorReduction	BULLET_AND_MELEE_RESIST_REDUCTION	-40
upgrade_frenzy	BulletLifestealPercent	BULLET_LIFESTEAL	25
upgrade_full_spectrum	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	30
upgrade_full_spectrum	TechRadiusMultiplier	TECH_RADIUS_PERCENT	60
upgrade_full_spectrum	TechRangeMultiplier	TECH_RANGE_PERCENT	60
upgrade_fury_trance	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	6
upgrade_fury_trance	BonusHealth	HEALTH_MAX	100
upgrade_fury_trance	BulletLifestealPercent	BULLET_LIFESTEAL	14
upgrade_fury_trance	TechResist	TECH_RESIST	40
upgrade_galvanic_storm	BuffMoveSpeedBonus	MOVEMENT_SPEED_MAX	3m
upgrade_glass_cannon	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	80
upgrade_glass_cannon	FireRatePerKill	FIRE_RATE	7
upgrade_glass_cannon	MaxHealthLossPercent	HEALTH_MAX_PERCENT	-13
upgrade_glass_cannon	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	30
upgrade_glass_cannon2	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	100
upgrade_glass_cannon2	BonusBulletSpeedPercent	BONUS_BULLET_SPEED_PERCENT	25
upgrade_glass_cannon2	BonusFireRate	FIRE_RATE	100
upgrade_glass_cannon2	MaxHealthLossPercent	HEALTH_MAX_PERCENT	-50
upgrade_glass_cannon2	WeaponPowerPerKill	BULLET_DAMAGE_INCREASE	10
upgrade_glitch	OutgoingDamagePenaltyPercent	ALL_DAMAGE_MULTIPLIER	-10
upgrade_glitch	SkipFrames	ANIMATION_FRAME_SKIP_RATE	6
upgrade_goose_egg	BonusSprintSpeed	SPRINT_SPEED_BONUS	1m
upgrade_goose_egg	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	1
upgrade_goose_egg	OutgoingDamagePenaltyPercent	ALL_DAMAGE_MULTIPLIER	-10
upgrade_greater_withering_whip	BonusHealth	HEALTH_MAX	75
upgrade_greater_withering_whip	BonusSprintSpeed	SPRINT_SPEED_BONUS	0.75m
upgrade_greater_withering_whip	BulletArmorReduction	BULLET_AND_MELEE_RESIST_REDUCTION	-13
upgrade_grit	CombatBarrier	BARRIER_HEALTH	200
upgrade_grit	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	1.0
upgrade_guardian_ward	BonusMoveSpeed	MOVEMENT_SPEED_MAX	2.75m
upgrade_guardian_ward	GuardianWardCombatBarrier	BARRIER_HEALTH	250
upgrade_guardian_ward	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	1.5
upgrade_guardian_ward	TechRadiusMultiplier	TECH_RADIUS_PERCENT	8
upgrade_guardian_ward	TechRangeMultiplier	TECH_RANGE_PERCENT	8
upgrade_haunting_scream	SkipFrames	ANIMATION_FRAME_SKIP_RATE	6
upgrade_haunting_scream	TechPowerPercent	TECH_POWER_PERCENT	30
upgrade_headhunter	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	5
upgrade_headhunter	BonusHealth	HEALTH_MAX	50
upgrade_headhunter	BonusMoveSpeed	MOVEMENT_SPEED_MAX	1.75m
upgrade_headshot_booster	BonusHealth	HEALTH_MAX	30
upgrade_headshot_booster2	BonusHealth	HEALTH_MAX	60
upgrade_headshot_booster2	BulletResistReduction	BULLET_AND_MELEE_RESIST_REDUCTION	-13
upgrade_heal_on_level	BonusHealthRegen	HEALTH_REGEN_PER_SECOND	2.0
upgrade_healbane	HealAmpReceivePenaltyPercent	HEAL_AMP_RECEIVE_PERCENT	-35
upgrade_healbane	HealAmpRegenPenaltyPercent	HEAL_AMP_REGEN_PERCENT	-35
upgrade_healbane	TechPower	TECH_POWER	7
upgrade_healbuff	BonusFireRate	FIRE_RATE	35
upgrade_healbuff	BonusHealthRegen	HEALTH_REGEN_PER_SECOND	6
upgrade_healbuff	BonusMoveSpeed	MOVEMENT_SPEED_MAX	1.25m
upgrade_healbuff	HealAmpCastPercent	HEAL_AMP_CAST_PERCENT	25
upgrade_healbuff	HealAmpRegenPercent	HEAL_AMP_REGEN_PERCENT	25
upgrade_healbuff	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	4
upgrade_healbuff	TechResist	TECH_RESIST	10
upgrade_healing_booster	BonusHealthRegen	HEALTH_REGEN_PER_SECOND	3
upgrade_healing_booster	HealAmpCastPercent	HEAL_AMP_CAST_PERCENT	20
upgrade_healing_booster	HealAmpRegenPercent	HEAL_AMP_REGEN_PERCENT	20
upgrade_healing_booster	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	1
upgrade_health	BonusHealth	HEALTH_MAX	210
upgrade_health_2	BonusHealth	HEALTH_MAX	200
upgrade_health_nova	SpiritPower	TECH_POWER	8
upgrade_health_nova	TechRadiusMultiplier	TECH_RADIUS_PERCENT	5
upgrade_health_nova	TechRangeMultiplier	TECH_RANGE_PERCENT	5
upgrade_health_regen_1	BonusHealthRegen	HEALTH_REGEN_PER_SECOND	2.75
upgrade_health_stealing_magic	AbilityLifestealPercentHero	TECH_LIFESTEAL	13
upgrade_health_stealing_magic	BonusHealth	HEALTH_MAX	90
upgrade_health_stealing_magic	TechPower	TECH_POWER	6
upgrade_health_stimpak	BonusSprintSpeed	SPRINT_SPEED_BONUS	2m
upgrade_high_velocity_mag	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	8
upgrade_high_velocity_mag	BonusBulletSpeedPercent	BONUS_BULLET_SPEED_PERCENT	60
upgrade_hollow_point_rounds	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	35
upgrade_hollow_point_rounds	BonusHealth	HEALTH_MAX	125
upgrade_hollow_point_rounds	BulletArmorReduction	BULLET_AND_MELEE_RESIST_REDUCTION	-9
upgrade_hollow_point_rounds	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	4.5
upgrade_icarus_wings	AirControlAccelPercent	AIR_CONTROL_ACCEL_PERCENT	50
upgrade_icarus_wings	AirControlPercent	AIR_CONTROL_PERCENT	100
upgrade_icarus_wings	StaminaCooldownReduction	STAMINA_REGEN_PER_SECOND_PERCENTAGE	120
upgrade_imbued_ability	BonusAbilityDurationPercent	BONUS_ABILITY_DURATION_PERCENTAGE	20
upgrade_imbued_ability	ImbuedBonusDamage	IMBUED_BONUS_DAMAGE	10
upgrade_imbued_ability	ImbuedBonusDuration	BONUS_ABILITY_DURATION_PERCENTAGE	25
upgrade_imbued_ability	SlowPercent	MOVEMENT_SPEED_SLOW_PERCENT	15
upgrade_imbued_duration_extender	BonusAbilityDurationPercent	BONUS_ABILITY_DURATION_PERCENTAGE	28
upgrade_imbued_duration_extender	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	8
upgrade_improved_bullet_armor	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	30
upgrade_improved_bullet_armor	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	3
upgrade_improved_spirit	TechPower	TECH_POWER	10
upgrade_improved_stamina	Stamina	STAMINA	1
upgrade_improved_stamina	StaminaCooldownReduction	STAMINA_REGEN_PER_SECOND_PERCENTAGE	12
upgrade_infinite_rounds	BonusBulletSpeedPercent	BONUS_BULLET_SPEED_PERCENT	200
upgrade_infinite_rounds	BonusFireRate	FIRE_RATE	35
upgrade_infinitemagazine	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	20
upgrade_infinitemagazine	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	100
upgrade_infinitemagazine	BonusFireRate	FIRE_RATE	20
upgrade_infinitemagazine	BonusHealth	HEALTH_MAX	200
upgrade_infuser	AbilityLifestealPercentHero	TECH_LIFESTEAL	70
upgrade_infuser	AbilityLifestealPercentHeroPassive	TECH_LIFESTEAL	13
upgrade_infuser	BonusHealth	HEALTH_MAX	100
upgrade_infuser	BonusSpirit	TECH_POWER	30
upgrade_infuser	TechPower	TECH_POWER	6
upgrade_infuser	TechResist	TECH_RESIST	10
upgrade_inhibitor	BaseAttackDamagePercent	WEAPON_DAMAGE_INCREASE	10
upgrade_inhibitor	BonusHealth	HEALTH_MAX	150
upgrade_inhibitor	HealAmpReceivePenaltyPercent	HEAL_AMP_RECEIVE_PERCENT	-40
upgrade_inhibitor	HealAmpRegenPenaltyPercent	HEAL_AMP_REGEN_PERCENT	-40
